Date,City,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,AQI,AQI_Bucket
2015-02-19,Bengaluru,,,14.46,27.71,24.33,19.81,2.18,11.15,31.69,69.69,36.1,,320.3333333333333,
2015-02-20,Delhi,144.12,162.2,18.1,34.71,40.32,81.04,11.45,5.93,31.61,2.35,6.76,4.07,317.0,Very Poor
2015-02-21,Bengaluru,,,4.77,21.34,14.07,12.5,8.98,14.25,39.2,,8.98,,493.0,
2015-02-22,Ahmedabad,142.96,,45.45,48.21,92.32,,45.45,62.96,34.77,7.35,22.4,8.47,669.0,Severe
2015-02-23,Mumbai,,,,,29.02,,0.0,,,0.0,0.0,0.0,619.7142857142857,
2015-02-24,Lucknow,,,6.31,28.73,4.22,,12.48,,22.18,2.84,3.83,,570.4285714285714,
2015-02-25,Bengaluru,,,13.88,29.78,24.83,21.85,1.49,6.5,51.91,,1.53,,521.1428571428571,
2015-02-26,Chennai,,,7.97,13.22,15.59,,3.42,6.31,29.46,,4.29,,471.8571428571429,
2015-02-27,Hyderabad,,,6.07,19.24,25.31,,0.33,4.73,42.19,0.56,8.84,1.13,422.57142857142856,
2015-02-28,Lucknow,,,7.26,13.83,5.4,,11.21,,15.43,2.24,1.69,,373.2857142857143,
2015-03-01,Delhi,71.83,98.89,8.49,21.42,19.55,12.44,11.62,10.99,22.51,1.38,4.63,2.6,324.0,Very Poor
2015-03-02,Lucknow,,,11.15,27.26,6.16,,12.16,,10.79,1.62,0.35,,311.75,
2015-03-03,Mumbai,,,,,27.16,,0.0,,,0.0,0.0,0.0,299.5,
2015-03-04,Chennai,,,9.25,11.37,11.41,58.57,2.82,6.77,41.26,6.86,6.02,,287.25,
2015-03-05,Delhi,106.57,196.19,25.97,31.12,45.48,28.86,9.36,5.97,32.88,3.27,15.12,10.65,275.0,Poor
2015-03-06,Lucknow,,,9.78,19.54,4.99,,11.58,,28.29,2.29,3.01,,219.33333333333334,
2015-03-07,Mumbai,,,,,27.12,,0.0,,,0.0,0.0,0.0,163.66666666666669,
2015-03-08,Delhi,63.24,80.2,13.52,20.35,27.44,16.12,8.19,3.98,20.71,1.69,6.09,1.35,108.0,Moderate
2015-03-09,Delhi,76.62,117.38,10.49,18.21,22.84,15.2,9.02,4.2,22.85,1.12,4.32,1.97,197.0,Moderate
2015-03-10,Delhi,86.7,150.92,11.44,18.82,25.78,18.88,7.98,3.84,25.87,1.51,5.62,4.8,238.0,Poor
2015-03-11,Chennai,,,10.4,21.64,19.98,11.56,1.13,5.03,35.85,2.62,9.78,,229.66666666666666,
2015-03-12,Bengaluru,,,5.47,25.29,17.47,23.55,1.9,1.67,37.65,,2.8,,221.33333333333334,
2015-03-13,Mumbai,,,,,143.29,,0.0,,,0.0,0.0,0.0,213.0,
2015-03-14,Mumbai,,,,,96.51,,0.0,,,0.0,0.0,0.0,204.66666666666666,
2015-03-15,Lucknow,,,7.44,18.44,4.3,,2.13,9.43,13.24,2.33,3.48,,196.33333333333331,
2015-03-16,Delhi,45.39,74.14,10.2,17.14,22.27,33.16,7.87,8.8,25.55,1.05,4.83,0.74,188.0,Moderate
2015-03-17,Hyderabad,,,7.88,18.99,26.87,,0.37,6.11,42.96,0.48,4.4,0.75,199.85714285714286,
2015-03-18,Lucknow,,,7.23,21.83,4.3,,2.24,9.74,46.65,2.36,3.55,,211.71428571428572,
2015-03-19,Bengaluru,,,17.05,33.58,29.48,29.11,15.98,47.19,56.32,119.55,30.98,,223.57142857142856,
2015-03-20,Hyderabad,,,5.74,26.43,32.17,,0.48,5.4,38.92,0.49,7.43,1.12,235.42857142857144,
2015-03-21,Chennai,,,24.83,36.81,15.25,11.76,0.81,13.96,54.8,,,,247.28571428571428,
2015-03-22,Chennai,,,14.05,22.96,12.06,9.56,2.24,8.66,49.91,,,,259.1428571428571,
2015-03-23,Delhi,78.47,131.42,12.57,23.04,28.5,32.13,8.6,4.07,27.1,5.45,13.55,10.98,271.0,Poor
2015-03-24,Bengaluru,60.47,,5.39,29.87,20.88,35.1,1.46,6.07,64.12,5.9,61.48,,119.0,Moderate
2015-03-25,Chennai,205.65,,26.97,98.75,14.71,13.31,1.32,10.16,39.17,,7.5,,125.5,
2015-03-26,Bengaluru,60.73,,4.16,32.07,21.03,34.71,1.44,1.67,67.21,1.36,13.28,,132.0,Moderate
2015-03-27,Delhi,62.27,117.81,12.01,24.76,27.71,27.34,9.29,10.91,31.08,4.14,4.26,2.0,287.0,Poor
2015-03-28,Chennai,88.65,,22.83,38.75,20.64,10.97,2.21,11.76,27.68,,,,448.0,Severe
2015-03-29,Hyderabad,,,9.75,14.74,24.49,,0.76,7.47,29.92,0.45,4.27,1.03,393.0,
2015-03-30,Mumbai,,,,,83.22,,0.0,,,0.0,0.0,0.0,338.0,
2015-03-31,Delhi,55.66,78.64,10.22,20.13,26.74,30.62,9.56,9.34,34.15,2.01,4.89,1.8,283.0,Poor
2015-04-01,Mumbai,,,,,149.29,,0.0,,,0.0,0.0,0.0,229.33333333333334,
2015-04-02,Hyderabad,,,8.73,14.34,23.06,,0.85,7.94,31.97,0.57,3.61,0.87,175.66666666666669,
2015-04-03,Lucknow,75.52,,11.98,27.25,5.65,,2.37,13.38,22.52,2.06,1.82,,122.0,Moderate
2015-04-04,Chennai,187.51,,20.88,26.89,17.5,10.1,1.23,4.74,27.57,,3.73,,173.2,
2015-04-05,Hyderabad,50.87,,15.01,20.91,35.91,,0.99,13.35,38.52,0.35,3.95,0.59,224.4,
2015-04-06,Mumbai,,,,,74.24,,0.0,,,0.0,0.0,0.0,275.6,
2015-04-07,Mumbai,,,,,103.3,,0.0,,,0.0,0.0,0.0,326.8,
2015-04-08,Ahmedabad,144.36,,15.82,30.69,46.1,,15.82,66.39,27.34,17.22,49.56,7.71,378.0,Very Poor
2015-04-09,Bengaluru,25.06,,3.21,8.72,7.2,29.83,5.82,2.6,42.63,0.13,5.92,,80.0,Satisfactory
2015-04-10,Ahmedabad,134.6,,5.9,26.27,28.7,,5.9,34.53,7.0,0.0,0.0,0.0,93.5,
2015-04-11,Bengaluru,32.08,,6.6,7.09,8.82,30.95,1.7,3.22,53.91,0.29,1.75,,107.0,Moderate
2015-04-12,Ahmedabad,39.42,,5.28,19.56,24.66,,5.28,17.66,31.3,0.0,0.0,0.0,175.0,Moderate
2015-04-13,Bengaluru,17.03,,2.17,8.53,9.95,34.3,2.23,2.75,39.03,,2.62,,85.0,Satisfactory
2015-04-14,Bengaluru,19.73,,2.26,6.1,6.13,27.48,1.4,4.66,57.7,0.18,1.71,,62.0,Satisfactory
2015-04-15,Chennai,72.65,,9.4,18.34,13.71,9.6,3.87,4.7,28.02,,,,245.0,Poor
2015-04-16,Chennai,90.72,,12.93,19.6,13.63,9.91,6.25,1.75,24.24,5.39,,,244.0,Poor
2015-04-17,Lucknow,43.82,,10.33,23.53,3.63,,2.09,8.84,29.6,2.68,4.77,,103.0,Moderate
2015-04-18,Ahmedabad,109.48,,4.3,20.27,22.86,,4.3,46.6,31.34,0.05,0.0,6.19,285.0,Poor
2015-04-19,Delhi,125.53,308.82,32.69,64.73,87.58,34.39,8.84,18.02,65.08,4.88,17.48,4.88,406.0,Severe
2015-04-20,Bengaluru,27.46,,2.53,7.91,7.1,24.78,4.58,5.53,37.22,,5.17,,118.0,Moderate
2015-04-21,Bengaluru,27.94,,3.8,6.45,9.94,17.34,6.14,4.43,34.74,0.23,6.14,,127.0,Moderate
2015-04-22,Ahmedabad,63.38,,3.44,13.28,15.44,,3.44,24.79,43.62,0.0,0.0,1.23,189.0,Moderate
2015-04-23,Lucknow,50.1,,6.4,24.3,4.22,,2.28,37.56,29.22,4.28,4.19,,102.0,Moderate
2015-04-24,Mumbai,,,,,28.13,,0.0,,,0.0,0.0,0.0,116.0,
2015-04-25,Chennai,60.15,,32.58,35.63,10.76,11.38,10.28,8.42,,9.09,,,130.0,Moderate
2015-04-26,Chennai,57.57,,35.23,36.72,6.91,10.85,10.92,1.23,,7.86,,,102.0,Moderate
2015-04-27,Chennai,67.8,,21.79,26.61,8.07,15.0,12.02,0.91,,8.55,,,113.0,Moderate
2015-04-28,Hyderabad,46.62,,6.67,18.93,25.34,,0.83,9.63,39.74,,,,124.0,Moderate
2015-04-29,Mumbai,,,,,28.81,,0.0,,,0.0,0.0,0.0,220.5,
2015-04-30,Ahmedabad,129.04,,5.69,14.86,19.66,,5.69,78.27,18.67,0.0,0.0,1.54,317.0,Very Poor
2015-05-01,Chennai,51.62,,16.04,19.39,8.77,16.77,10.29,3.44,,2.91,0.1,,108.0,Moderate
2015-05-02,Mumbai,,,,,31.07,,0.0,,,0.0,0.0,0.0,86.0,
2015-05-03,Bengaluru,62.58,,5.03,15.2,10.05,14.62,1.32,7.47,17.81,37.56,11.01,,64.0,Satisfactory
2015-05-04,Bengaluru,45.26,,5.21,25.81,15.91,18.09,4.17,6.79,21.39,39.17,12.63,,162.0,Moderate
2015-05-05,Lucknow,33.52,,3.9,22.69,5.6,,2.48,13.58,15.89,2.12,1.17,,119.0,Moderate
2015-05-06,Mumbai,,,,,28.01,,0.0,,,0.0,0.0,0.0,94.5,
2015-05-07,Bengaluru,41.53,,5.74,20.41,14.16,15.4,0.5,4.67,31.73,22.24,6.38,,70.0,Satisfactory
2015-05-08,Chennai,54.28,,18.46,24.85,17.05,23.82,9.48,18.14,31.3,0.85,,,201.0,Poor
2015-05-09,Bengaluru,36.83,,4.6,24.35,13.81,17.12,23.56,6.64,39.61,6.11,3.89,,140.0,Moderate
2015-05-10,Ahmedabad,58.44,,10.68,17.24,27.38,,10.68,54.69,18.89,0.0,0.0,1.39,211.0,Poor
2015-05-11,Lucknow,36.26,,2.51,18.29,4.22,,2.91,20.09,47.42,1.94,1.82,,163.0,Moderate
2015-05-12,Chennai,82.63,,29.3,43.83,43.94,18.78,1.8,17.42,22.25,12.35,5.09,,146.0,Moderate
2015-05-13,Chennai,100.77,,9.42,22.81,21.94,17.5,1.95,10.63,23.81,10.64,6.9,,208.0,Poor
2015-05-14,Lucknow,33.4,,1.58,13.48,4.22,,2.14,9.08,44.04,1.32,1.26,,112.0,Moderate
2015-05-15,Lucknow,28.85,,1.75,12.03,4.22,,2.24,8.33,59.35,1.15,1.11,,119.0,Moderate
2015-05-16,Hyderabad,41.67,,8.68,11.99,20.26,,0.99,8.54,20.62,,,,120.0,Moderate
2015-05-17,Bengaluru,15.8,,5.08,22.62,11.25,14.2,12.23,5.8,21.44,4.22,2.05,,125.0,Moderate
2015-05-18,Delhi,66.85,172.35,9.2,47.64,55.88,40.95,7.46,15.04,79.02,1.69,3.99,,296.0,Poor
2015-05-19,Delhi,89.85,240.31,16.42,75.47,70.51,40.32,8.04,14.58,79.55,1.82,5.59,,319.0,Very Poor
2015-05-20,Bengaluru,26.7,,4.76,32.48,16.97,15.5,1.26,4.24,36.42,4.1,1.1,,57.0,Satisfactory
2015-05-21,Bengaluru,27.84,,6.01,17.97,9.15,13.64,1.21,4.38,25.96,4.18,1.19,,56.0,Satisfactory
2015-05-22,Mumbai,,,,,23.37,,0.0,,,0.0,0.0,0.0,95.5,
2015-05-23,Lucknow,46.62,,6.14,14.1,3.63,,3.04,20.47,29.18,2.09,2.01,,135.0,Moderate
2015-05-24,Delhi,79.1,251.52,32.09,56.29,69.04,37.22,8.56,18.96,60.08,7.08,7.12,,295.0,Poor
2015-05-25,Delhi,117.27,340.66,51.72,60.65,102.66,40.26,7.66,11.78,95.72,1.69,5.27,,344.0,Very Poor
2015-05-26,Ahmedabad,53.66,,4.23,14.43,18.06,,4.23,14.46,45.64,2.39,6.4,3.53,176.0,Moderate
2015-05-27,Bengaluru,31.7,,2.97,11.83,9.27,2.77,4.79,4.02,27.83,3.77,1.05,,93.0,Satisfactory
2015-05-28,Ahmedabad,60.86,,5.27,16.61,21.42,,5.27,14.91,41.19,3.03,9.18,6.54,106.0,Moderate
2015-05-29,Chennai,100.5,,19.0,21.32,26.22,58.98,1.45,10.99,44.51,,,,204.0,Poor
2015-05-30,Bengaluru,26.15,,0.95,14.82,10.67,5.61,4.52,7.13,54.35,4.81,3.22,,147.0,Moderate
2015-05-31,Chennai,127.46,,18.69,29.99,27.0,55.9,1.43,11.03,48.19,,27.09,,211.0,Poor
2015-06-01,Hyderabad,237.79,,7.75,9.84,17.42,,0.78,8.05,48.34,,,,165.0,Moderate
2015-06-02,Delhi,52.51,117.86,18.64,54.29,68.84,46.09,6.67,6.73,56.2,1.51,3.98,,297.0,Poor
2015-06-03,Hyderabad,49.54,,8.47,14.49,22.35,,0.88,9.06,42.6,,,,294.0,Poor
2015-06-04,Chennai,111.48,,4.69,15.66,16.38,57.97,1.51,10.8,42.62,,,,207.0,Poor
2015-06-05,Delhi,83.02,241.67,16.05,62.63,52.93,75.0,11.36,4.12,52.03,2.6,7.32,,327.0,Very Poor
2015-06-06,Mumbai,,,,,23.05,,0.0,,,0.0,0.0,0.0,200.5,
2015-06-07,Bengaluru,12.69,,4.38,25.18,27.39,28.0,4.45,4.22,19.63,2.71,1.93,,74.0,Satisfactory
2015-06-08,Delhi,137.7,269.3,52.45,109.34,109.95,50.63,1.56,10.44,86.2,2.82,9.42,,282.0,Poor
2015-06-09,Bengaluru,12.11,,6.72,20.8,13.22,25.86,1.4,15.06,20.96,3.13,1.2,,55.0,Satisfactory
2015-06-10,Lucknow,52.4,,2.04,11.27,4.13,,3.33,10.6,42.61,1.75,1.61,,217.0,Poor
2015-06-11,Chennai,58.84,,6.18,15.13,17.09,54.34,1.87,7.89,50.75,,1.56,,117.0,Moderate
2015-06-12,Lucknow,47.72,,1.61,12.5,3.49,,2.06,6.47,53.5,0.63,0.7,,139.0,Moderate
2015-06-13,Chennai,58.12,,5.17,15.31,16.68,57.06,1.9,9.94,45.84,,,,118.0,Moderate
2015-06-14,Delhi,74.56,121.44,15.9,68.76,71.74,56.02,1.35,5.33,60.88,1.63,6.44,,166.0,Moderate
2015-06-15,Bengaluru,15.7,,6.3,13.12,10.43,8.92,1.56,5.04,34.42,2.43,1.53,,86.0,Satisfactory
2015-06-16,Bengaluru,22.94,,2.88,10.09,5.6,9.22,3.74,1.58,13.24,1.66,1.72,,136.0,Moderate
2015-06-17,Bengaluru,19.54,,2.19,11.09,5.01,7.0,2.0,4.12,13.5,2.96,2.08,,67.0,Satisfactory
2015-06-18,Ahmedabad,34.74,,7.59,13.51,21.11,,7.59,4.11,12.22,1.82,6.19,0.47,187.0,Moderate
2015-06-19,Chennai,54.86,,4.57,14.6,15.3,56.56,2.67,13.31,36.11,0.16,1.74,,155.0,Moderate
2015-06-20,Patna,,,17.33,12.65,29.82,,1.12,7.12,6.87,,,,160.5,
2015-06-21,Bengaluru,18.81,,3.01,15.95,8.19,6.89,3.84,2.02,10.31,0.15,3.28,,166.0,Moderate
2015-06-22,Delhi,85.4,139.2,10.93,58.88,56.1,50.28,1.34,6.18,59.49,1.66,7.01,,172.0,Moderate
2015-06-23,Mumbai,,,,,18.87,,0.0,,,0.0,0.0,0.0,216.5,
2015-06-24,Delhi,126.07,214.45,14.98,60.31,86.44,62.47,1.37,8.09,83.13,2.45,7.86,,261.0,Poor
2015-06-25,Chennai,67.93,,7.21,19.42,16.81,49.56,2.43,10.78,42.65,0.78,0.22,,158.0,Moderate
2015-06-26,Ahmedabad,66.39,,8.58,12.79,21.36,,8.58,11.09,4.96,1.76,6.18,0.57,201.0,Poor
2015-06-27,Bengaluru,27.25,,0.86,5.23,2.93,6.4,15.98,10.62,15.2,0.18,14.54,,165.0,Moderate
2015-06-28,Hyderabad,35.88,,15.1,10.35,25.45,,0.89,8.49,21.59,,,,114.0,Moderate
2015-06-29,Patna,,,30.27,22.39,51.99,,1.57,4.18,12.77,0.38,2.58,1.13,143.0,
2015-06-30,Chennai,77.16,,3.53,17.68,15.59,49.23,2.32,11.67,33.71,0.94,0.13,,172.0,Moderate
2015-07-01,Hyderabad,26.29,,8.69,5.89,14.52,,0.62,8.61,21.08,,,,99.0,Satisfactory
2015-07-02,Delhi,67.12,175.9,12.29,52.45,110.32,39.09,1.12,6.86,61.7,1.61,5.71,,220.0,Poor
2015-07-03,Hyderabad,37.0,,9.8,9.01,18.81,,0.72,7.3,23.39,,,,108.0,Moderate
2015-07-04,Delhi,88.75,212.16,20.9,35.54,45.93,61.61,0.98,7.24,56.61,0.85,1.81,,250.0,Poor
2015-07-05,Ahmedabad,47.43,,8.11,9.45,17.56,,8.11,7.93,7.08,2.1,3.6,0.13,199.0,Moderate
2015-07-06,Ahmedabad,51.74,,8.91,12.38,21.28,,8.91,10.05,5.78,2.15,3.64,0.27,200.0,Moderate
2015-07-07,Chennai,69.56,,4.76,20.37,17.7,52.81,2.22,11.02,30.14,1.02,0.13,,187.0,Moderate
2015-07-08,Ahmedabad,38.45,,10.55,7.8,18.35,,10.55,10.28,3.24,2.46,4.79,0.41,241.0,Poor
2015-07-09,Hyderabad,24.42,,8.69,4.88,13.43,,0.59,6.99,16.3,,,,91.0,Satisfactory
2015-07-10,Delhi,47.68,95.1,26.94,46.71,173.98,53.64,1.26,8.97,35.79,2.24,9.43,,188.0,Moderate
2015-07-11,Lucknow,29.6,,2.03,7.8,4.13,,5.38,10.03,25.25,0.1,0.2,,112.0,Moderate
2015-07-12,Patna,,,15.01,6.82,21.9,,2.1,14.94,9.52,0.24,1.68,0.57,130.0,
2015-07-13,Delhi,36.68,54.36,12.21,37.71,105.59,41.83,1.3,8.11,37.7,1.96,6.02,,148.0,Moderate
2015-07-14,Patna,,,27.16,19.86,45.96,,2.53,9.61,14.5,0.29,1.88,0.73,130.5,
2015-07-15,Hyderabad,30.78,,8.19,7.49,15.55,,0.87,7.24,13.39,,,,113.0,Moderate
2015-07-16,Bengaluru,23.17,,4.97,15.73,11.27,10.88,3.56,2.98,8.06,22.44,3.01,,176.0,Moderate
2015-07-17,Patna,,,24.5,13.9,38.27,,2.1,13.17,11.71,0.29,1.98,0.81,166.0,
2015-07-18,Bengaluru,19.24,,3.78,8.46,7.12,11.23,18.69,3.98,10.27,,,,156.0,Moderate
2015-07-19,Chennai,40.7,,6.33,19.23,18.33,59.74,1.47,10.39,28.57,,0.03,,104.0,Moderate
2015-07-20,Ahmedabad,31.3,,0.55,8.1,8.49,,0.55,10.29,7.44,0.52,2.31,0.06,60.0,Satisfactory
2015-07-21,Delhi,40.97,78.76,12.25,46.3,151.32,38.36,1.14,12.19,46.98,2.04,8.56,,218.0,Poor
2015-07-22,Lucknow,30.2,,2.19,7.73,4.22,,2.17,9.56,29.38,0.09,0.18,,97.0,Satisfactory
2015-07-23,Bengaluru,45.86,,5.98,11.26,9.75,10.06,9.44,3.29,5.13,19.93,2.04,,245.0,Poor
2015-07-24,Bengaluru,18.38,,3.82,9.48,7.7,9.15,16.46,10.54,6.49,18.55,3.04,,268.0,Poor
2015-07-25,Mumbai,,,,,19.9,,0.0,,,0.0,0.0,0.0,209.0,
2015-07-26,Delhi,29.81,86.01,8.06,30.66,106.81,33.05,0.81,15.09,40.73,0.87,4.39,,150.0,Moderate
2015-07-27,Chennai,57.59,,6.64,18.92,17.87,44.13,2.16,12.57,24.5,,0.09,,123.0,Moderate
2015-07-28,Ahmedabad,19.52,,5.89,11.26,17.15,,5.89,11.56,4.4,0.58,1.44,0.07,157.0,Moderate
2015-07-29,Ahmedabad,35.16,,5.75,10.89,16.64,,5.75,14.7,3.67,1.61,3.71,0.48,158.0,Moderate
2015-07-30,Delhi,25.76,47.91,13.51,32.96,105.81,29.31,1.2,9.49,26.26,0.89,3.24,,181.0,Moderate
2015-07-31,Ahmedabad,40.95,,6.92,10.47,17.39,,6.92,19.8,3.38,2.05,5.08,0.44,174.0,Moderate
2015-08-01,Delhi,41.32,126.33,29.5,35.14,139.85,23.1,1.08,10.8,41.27,1.41,5.16,,181.0,Moderate
2015-08-02,Patna,,,22.32,12.29,34.54,,1.8,5.9,5.6,0.36,2.31,0.93,160.0,
2015-08-03,Bengaluru,18.67,,5.9,11.41,8.58,10.08,25.13,2.13,5.74,13.67,4.26,,139.0,Moderate
2015-08-04,Lucknow,51.67,,3.55,8.02,4.64,,1.3,9.63,29.36,0.09,0.19,,99.0,Satisfactory
2015-08-05,Hyderabad,21.56,,7.62,8.86,16.41,,0.66,7.15,17.39,0.57,2.65,0.0,92.0,Satisfactory
2015-08-06,Chennai,49.27,,6.46,14.74,17.93,41.35,2.89,11.0,12.61,10.46,14.45,,189.0,Moderate
2015-08-07,Chennai,56.12,,7.86,14.52,18.89,40.63,1.27,11.79,14.3,6.01,10.17,,100.0,Satisfactory
2015-08-08,Patna,,,21.45,9.95,31.4,,1.92,5.7,8.54,0.35,2.31,1.06,98.66666666666667,
2015-08-09,Patna,,,7.73,3.93,10.96,,0.75,4.06,9.91,0.28,2.09,0.74,97.33333333333333,
2015-08-10,Chennai,54.41,,7.37,14.92,18.75,35.22,1.11,12.13,15.58,2.91,1.86,,96.0,Satisfactory
2015-08-11,Bengaluru,21.1,,2.56,7.98,5.34,24.12,29.0,2.96,9.86,27.76,411.52,,129.0,Moderate
2015-08-12,Ahmedabad,41.37,,7.47,20.2,27.68,,7.47,11.73,19.8,1.82,2.85,0.17,179.0,Moderate
2015-08-13,Mumbai,,,,,30.94,,0.0,,,0.0,0.0,0.0,228.0,
2015-08-14,Bengaluru,20.21,,4.54,14.73,12.48,23.64,35.05,6.15,5.86,3.15,71.16,,277.0,Poor
2015-08-15,Mumbai,,,,,64.61,,0.0,,,0.0,0.0,0.0,227.66666666666666,
2015-08-16,Mumbai,,,,,68.83,,0.0,,,0.0,0.0,0.0,178.33333333333331,
2015-08-17,Chennai,63.39,,9.21,15.16,20.02,32.13,1.35,11.61,20.54,,,,129.0,Moderate
2015-08-18,Hyderabad,34.23,,7.41,15.1,22.28,,0.88,6.49,16.88,1.06,4.98,0.04,102.0,Moderate
2015-08-19,Patna,,,10.13,10.85,20.92,,1.56,34.0,10.29,0.18,1.53,0.46,139.0,
